state,city,card_provider,response_code,amount
Washington,Redmond,VISA,Approved,3426.692725
Washington,Redmond,AMEX,Do not honor,3510.035295
Virginia,Ashburn,VISA,Approved,3731.988737
Rhode Island,East Providence,MASTERCARD,Approved,1504.07623
California,Menlo Park,MASTERCARD,Approved,446.5804759
Virginia,Ashburn,VISA,Do not honor,397.3869979
Texas,Frisco,VISA,Approved,4931.30185
Illinois,Chicago,MASTERCARD,Insufficient funds,3151.346839
Texas,Irving,VISA,Approved,785.9373164
California,Menlo Park,MASTERCARD,Insufficient funds,3912.523916
Ohio,Cincinnati,MASTERCARD,Approved,2782.292159
Maryland,Laurel,VISA,Do not honor,23.80136975
Washington,Seattle,VISA,Insufficient funds,332.1003096
California,Mountain View,MASTERCARD,Issuer unavailable,3639.31146
Tennessee,Clarksville,VISA,Approved,1008.113106
Ohio,Cincinnati,VISA,Approved,1372.305843
California,Palo Alto,MASTERCARD,Approved,470.3797044
Virginia,Ashburn,MASTERCARD,Approved,181.8017325
Ohio,Cincinnati,MASTERCARD,Approved,1062.491683
California,Palo Alto,VISA,Insufficient funds,1128.248301
Virginia,Ashburn,MASTERCARD,Approved,115.1852449
California,Mountain View,VISA,Insufficient funds,1530.710949
Ohio,Cincinnati,MASTERCARD,Approved,243.0496283
Florida,Melbourne,MASTERCARD,Approved,67.32423047
California,Mountain View,MASTERCARD,Approved,286.3237045
California,San Ramon,AMEX,Insufficient funds,26.7874562
California,Mountain View,AMEX,Approved,719.3977952
California,Mountain View,AMEX,Approved,1980.608987
Florida,Boynton Beach,MASTERCARD,Do not honor,114.8029582
Ohio,Cincinnati,AMEX,Insufficient funds,5215.911267
Washington,Redmond,AMEX,Approved,3789.289528
New York,Springfield Gardens,VISA,Approved,560.6628357
California,Sunnyvale,AMEX,Approved,2506.159453
Iowa,Sioux City,AMEX,Insufficient funds,626.9262475
California,Mountain View,MASTERCARD,Approved,6181.628279
Washington,Redmond,MASTERCARD,Approved,839.304931
Ohio,Cincinnati,VISA,Approved,3855.346315
California,Palo Alto,MASTERCARD,Do not honor,281.8575972
Colorado,Englewood,AMEX,Approved,1127.416693
California,Menlo Park,VISA,Approved,458.7278021
California,Mountain View,MASTERCARD,Approved,4168.30352
California,Mountain View,MASTERCARD,Approved,2051.070153
Ohio,Cincinnati,VISA,Approved,1295.300007
California,Menlo Park,VISA,Approved,1397.802149
California,Palo Alto,AMEX,Do not honor,3848.702247
Virginia,Ashburn,MASTERCARD,Approved,3183.598195
Washington,Redmond,AMEX,Approved,338.2428863
California,Sunnyvale,MASTERCARD,Do not honor,2268.688957
California,Mountain View,VISA,Approved,1000.058403
California,Mountain View,VISA,Approved,157.5644243
Ohio,Cincinnati,VISA,Approved,2085.961701
Washington,Seattle,VISA,Approved,5738.309268
Illinois,Lombard,MASTERCARD,Approved,2268.314529
California,Sunnyvale,MASTERCARD,Do not honor,2668.894861
Illinois,Elk Grove Village,DISCOVER,Insufficient funds,2175.852747
California,Mountain View,AMEX,Approved,67.15557892
New York,Brooklyn,VISA,Do not honor,416.53593
California,Mountain View,VISA,Approved,5196.161291
California,Mountain View,VISA,Insufficient funds,1533.787193
California,Menlo Park,MASTERCARD,Approved,169.8359376
California,Mountain View,VISA,Approved,37.04642228
California,Sunnyvale,AMEX,Insufficient funds,5443.223672
Illinois,Lombard,MASTERCARD,Restricted card,959.3623427
Ohio,Cincinnati,VISA,Approved,2528.783783
California,Mountain View,VISA,Approved,1457.155887
New Jersey,Absecon,DISCOVER,Approved,130.8542426
California,Mountain View,VISA,Approved,1438.651935
Ohio,Cincinnati,MASTERCARD,Do not honor,1420.123138
California,Menlo Park,VISA,Approved,219.4514794
Ohio,Cincinnati,AMEX,Insufficient funds,239.3817989
California,Menlo Park,MASTERCARD,Approved,472.7918534
Virginia,Ashburn,MASTERCARD,Approved,5667.228228
Washington,Redmond,VISA,Insufficient funds,664.7694627
California,Menlo Park,MASTERCARD,Approved,1426.003704
Indiana,Indianapolis,VISA,Approved,2755.211415
California,Mountain View,AMEX,Insufficient funds,3373.997601
California,Mountain View,VISA,Approved,151.1070201
Ohio,Cincinnati,VISA,Approved,2352.965426
California,Mountain View,AMEX,Approved,342.289404
Ohio,Cincinnati,AMEX,Approved,4012.793972
Florida,Gainesville,MASTERCARD,Approved,620.6032183
California,Pasadena,MASTERCARD,Approved,3693.008054
Georgia,Duluth,VISA,Do not honor,559.1683195
California,Mountain View,MASTERCARD,Approved,6485.312863
Virginia,Ashburn,MASTERCARD,Approved,4093.781575
Ohio,Xenia,VISA,Approved,508.9832681
Virginia,Ashburn,DISCOVER,Do not honor,333.6992198
Missouri,Kansas City,MASTERCARD,Invalid transaction,201.1471349
California,Sunnyvale,AMEX,Insufficient funds,1909.081535
California,Mountain View,MASTERCARD,Incorrect PIN,2240.51557
New Hampshire,Nashua,MASTERCARD,Restricted card,3740.473344
California,Mountain View,MASTERCARD,Issuer unavailable,1890.282965
Washington,Redmond,AMEX,Approved,1426.725313
California,Mountain View,VISA,Approved,2146.01909
Ohio,Cincinnati,AMEX,Approved,288.5811481
California,San Francisco,MASTERCARD,Approved,313.4405299
California,San Francisco,MASTERCARD,Approved,2244.892971
Virginia,Ashburn,MASTERCARD,Approved,2838.606662
California,San Francisco,VISA,Approved,976.26335
California,Menlo Park,VISA,Approved,2961.344743
California,Menlo Park,VISA,Approved,3.745044542
Illinois,Chicago Heights,VISA,Approved,498.7924536
Washington,Redmond,AMEX,Approved,4059.309766
Ohio,Cincinnati,VISA,Approved,4659.605457
California,Mountain View,AMEX,Do not honor,118.2422616
California,Mountain View,VISA,Insufficient funds,3041.056339
California,Mountain View,MASTERCARD,Approved,1488.351371
Iowa,Sioux City,MASTERCARD,Approved,111.1520875
California,San Francisco,VISA,Approved,1723.626175
California,Mountain View,VISA,Insufficient funds,1213.350138
California,Mountain View,VISA,Approved,400.3835217
New Jersey,Union Township,MASTERCARD,Approved,3777.019187
California,Mountain View,MASTERCARD,Approved,3688.092738
Ohio,Cincinnati,VISA,Do not honor,408.1766134
Washington,Redmond,VISA,Insufficient funds,4092.426649
Ohio,Cincinnati,VISA,Approved,3574.803195
California,Menlo Park,MASTERCARD,Do not honor,163.9936342
California,San Francisco,VISA,Insufficient funds,113.6508408
California,Berkeley,MASTERCARD,Approved,3070.694932
Washington,Redmond,VISA,Approved,493.5466181
California,Mountain View,AMEX,Approved,532.2441897
Washington,Redmond,MASTERCARD,Approved,3122.530499
Washington,Seattle,MASTERCARD,Approved,1705.622729
Washington,Seattle,MASTERCARD,Approved,5152.263446
Iowa,Sioux City,MASTERCARD,Approved,297.7421659
California,Menlo Park,AMEX,Approved,7088.051301
Ohio,Cincinnati,VISA,Approved,2184.903408
California,Mountain View,VISA,Insufficient funds,1125.794314
Washington,Redmond,MASTERCARD,Approved,3383.72703
Washington,Redmond,MASTERCARD,Approved,1134.617943
California,San Francisco,VISA,Approved,1783.96579
California,San Mateo,MASTERCARD,Pick-up card,6882.164666
California,Sunnyvale,AMEX,Do not honor,5562.948815
Washington,Redmond,AMEX,Insufficient funds,1978.777672
Ohio,Cincinnati,AMEX,Restricted card,3227.142463
California,Mountain View,AMEX,Approved,1681.180969
California,Mountain View,MASTERCARD,Pick-up card,4861.500198
Washington,Redmond,VISA,Do not honor,1689.312427
Washington,Redmond,VISA,Invalid amount,1064.285701
California,Menlo Park,VISA,Insufficient funds,1417.26385
Ohio,Cincinnati,VISA,Expired card,451.1711254
Washington,Redmond,DISCOVER,Incorrect PIN,357.2450318
Washington,Redmond,VISA,Restricted card,163.4817049
Washington,Redmond,MASTERCARD,PIN tries exceeded,715.8728245
Ohio,Cincinnati,MASTERCARD,Issuer unavailable,5.026986191
Washington,Redmond,AMEX,Approved,6302.048894
California,Mountain View,VISA,Approved,5897.408209
California,Mountain View,AMEX,Insufficient funds,1808.912758
California,Sunnyvale,AMEX,Approved,469.6673959
California,Mountain View,VISA,Do not honor,1379.303568
California,Mountain View,VISA,Approved,4993.848714
California,Menlo Park,VISA,Approved,1122.452082
California,Mountain View,MASTERCARD,Approved,13.83434037
California,Mountain View,MASTERCARD,Do not honor,722.0921302
Washington,Redmond,AMEX,Invalid amount,103.9909351
Washington,Redmond,AMEX,Insufficient funds,7984.324804
California,San Francisco,MASTERCARD,Incorrect PIN,3488.735917
Ohio,Cincinnati,DISCOVER,Restricted card,1226.229285
California,Menlo Park,AMEX,Approved,4986.515755
Florida,Fort Lauderdale,MASTERCARD,Approved,606.7279293
California,Menlo Park,MASTERCARD,Do not honor,70.94469528
Washington,Redmond,VISA,Insufficient funds,1248.111237
Washington,Redmond,AMEX,Approved,863.996301
Virginia,Ashburn,VISA,Approved,461.0612288
Washington,Redmond,AMEX,Approved,81.63297199
California,Mountain View,MASTERCARD,Approved,1062.74165
Ohio,Cincinnati,MASTERCARD,Do not honor,1609.344766
California,Sunnyvale,MASTERCARD,Insufficient funds,8662.894876
Washington,Redmond,VISA,Issuer unavailable,1703.586225
California,Sunnyvale,MASTERCARD,Approved,852.2118637
Ohio,Cincinnati,VISA,Approved,5646.282597
Washington,Redmond,MASTERCARD,Approved,832.4397737
California,Sunnyvale,VISA,Insufficient funds,4238.805041
Washington,Seattle,VISA,Incorrect PIN,43.10844342
Washington,Redmond,MASTERCARD,Approved,515.1028186
Virginia,Ashburn,AMEX,Do not honor,3840.480802
California,San Francisco,AMEX,Insufficient funds,1121.388959
California,Menlo Park,MASTERCARD,Approved,807.9189859
Ohio,Cincinnati,MASTERCARD,Approved,2665.305095
Washington,Redmond,VISA,Pick-up card,3924.505532
Washington,Redmond,VISA,Do not honor,2743.968322
Washington,Redmond,MASTERCARD,Approved,1583.87187
Washington,Redmond,VISA,Approved,14.86666224
Washington,Redmond,AMEX,Insufficient funds,360.5816767
Washington,Redmond,AMEX,Approved,3779.767867
California,San Jose,AMEX,Approved,1002.889304
California,Mountain View,AMEX,Do not honor,316.9786202
California,Mountain View,AMEX,Invalid amount,25.06286847
Washington,Seattle,VISA,Insufficient funds,621.974941
Virginia,Ashburn,VISA,Approved,2949.187821
California,Mountain View,MASTERCARD,Invalid amount,299.1122686
Florida,Clearwater,DISCOVER,Insufficient funds,1161.119393
California,Mountain View,MASTERCARD,Approved,6732.54056
Ohio,Cincinnati,VISA,Approved,88.87133631
Virginia,Ashburn,AMEX,Do not honor,36.52510761
Washington,Seattle,MASTERCARD,Insufficient funds,2916.228364
Ohio,Cincinnati,AMEX,Approved,3941.801325
New Jersey,Absecon,AMEX,Approved,1762.928071
Washington,Seattle,MASTERCARD,Approved,1178.539087
Ohio,Cincinnati,VISA,Approved,5213.288487
Virginia,Ashburn,AMEX,Do not honor,1404.946084
California,Mountain View,VISA,Insufficient funds,94.13529594
California,Mountain View,VISA,Incorrect PIN,737.9812237
California,San Mateo,AMEX,Approved,120.6242562
Washington,Redmond,VISA,Do not honor,2387.884367
New York,New York,VISA,Approved,70.02516826
California,Mountain View,VISA,Approved,167.3247489
California,Mountain View,AMEX,Approved,423.5989167
California,Mountain View,VISA,Do not honor,1368.274595
Nebraska,Lincoln,VISA,Approved,11.07456331
Virginia,Ashburn,MASTERCARD,Incorrect PIN,1280.418448
California,Sunnyvale,VISA,Approved,4906.065281
Virginia,Ashburn,AMEX,Approved,2765.599963
Washington,Redmond,MASTERCARD,Approved,92.76352671
Ohio,Cincinnati,VISA,Do not honor,969.4183699
California,Menlo Park,AMEX,Insufficient funds,994.7000932
California,San Francisco,MASTERCARD,Approved,432.6623006
Ohio,Cincinnati,MASTERCARD,Insufficient funds,2771.739158
California,Santa Clara,AMEX,Approved,40.53684807
Missouri,Kansas City,AMEX,Incorrect PIN,464.6077691
Ohio,Cincinnati,VISA,Approved,673.5855982
California,Mountain View,AMEX,Approved,2836.2644
California,Mountain View,VISA,Approved,549.8069944
Delaware,Wilmington,AMEX,Approved,3449.003622
New York,Buffalo,MASTERCARD,Approved,3211.241868
California,San Francisco,VISA,Approved,2611.965649
California,San Francisco,MASTERCARD,Approved,2473.436049
California,San Francisco,VISA,Approved,107.6926071
Ohio,Cincinnati,AMEX,Approved,4281.279455
Washington,Redmond,VISA,Approved,290.6955475
California,Mountain View,VISA,Approved,7954.260191
California,Mountain View,MASTERCARD,Do not honor,2836.140618
California,Sunnyvale,AMEX,Insufficient funds,2298.868289
Washington,Redmond,MASTERCARD,Approved,1746.826939
California,Mountain View,VISA,Approved,2518.057053
California,Emeryville,VISA,Approved,1550.103182
California,Menlo Park,DISCOVER,Do not honor,100.5486046
Ohio,Cincinnati,VISA,Invalid transaction,2.642909178
Colorado,Denver,VISA,Approved,2793.917372
California,Sunnyvale,VISA,Approved,12.06254211
Virginia,Ashburn,AMEX,Approved,995.6064962
California,Mountain View,AMEX,Approved,21.83041492
Virginia,Ashburn,AMEX,Approved,992.4303891
Washington,Redmond,VISA,Approved,1472.675468
Kentucky,Louisville,VISA,Do not honor,7923.988334
California,Mountain View,DISCOVER,Approved,3254.112013
California,Mountain View,MASTERCARD,Approved,310.4463993
California,Mountain View,VISA,Approved,5508.468324
Washington,Redmond,MASTERCARD,Approved,3062.54001
Ohio,Cincinnati,MASTERCARD,Approved,4.422718287
California,Mountain View,VISA,Approved,7452.834348
Washington,Redmond,VISA,Approved,5704.713843
California,Mountain View,MASTERCARD,Approved,264.6099795
California,Mountain View,VISA,Approved,599.1436898
Washington,Redmond,VISA,Insufficient funds,3041.215712
Washington,Redmond,AMEX,Approved,356.096986
California,Tustin,VISA,Approved,61.71749453
Ohio,Cincinnati,VISA,Approved,3382.444471
California,Mountain View,AMEX,Approved,3936.021507
California,Mountain View,VISA,Do not honor,1068.069674
Washington,Redmond,VISA,Approved,2185.495324
Virginia,Ashburn,VISA,Do not honor,857.9014499
California,Sunnyvale,MASTERCARD,Insufficient funds,329.2967388
California,San Jose,VISA,Approved,467.6567299
California,San Francisco,AMEX,Approved,710.1775177
California,Cupertino,AMEX,Approved,148.3031679
California,San Francisco,AMEX,Do not honor,122.4542383
California,Menlo Park,MASTERCARD,Approved,1056.379563
California,Menlo Park,MASTERCARD,Approved,4828.566532
Washington,Redmond,MASTERCARD,Insufficient funds,782.6209715
Washington,Redmond,MASTERCARD,Approved,825.5502761
Washington,Redmond,MASTERCARD,Pick-up card,596.0949749
Washington,Redmond,VISA,Do not honor,1973.654582
Washington,Redmond,MASTERCARD,Insufficient funds,3401.476444
California,Los Altos,VISA,Approved,319.3495626
California,Mountain View,DISCOVER,Approved,9.568147721
Michigan,Ann Arbor,AMEX,Insufficient funds,183.3596521
California,Riverside,MASTERCARD,Approved,1161.631672
Virginia,Ashburn,MASTERCARD,Approved,1735.737624
California,Mountain View,VISA,Insufficient funds,317.341494
Michigan,Grand Blanc,VISA,Approved,411.6525217
Washington,Redmond,AMEX,Approved,2555.323306
Ohio,Cincinnati,MASTERCARD,Approved,505.5963083
California,Menlo Park,AMEX,Do not honor,2415.94156
North Carolina,Cashiers,VISA,Insufficient funds,750.1574874
Ohio,Cincinnati,MASTERCARD,Approved,1632.321508
Wisconsin,Waukesha,VISA,Approved,667.5142743
Virginia,Ashburn,MASTERCARD,Approved,2122.380773
Missouri,Kansas City,MASTERCARD,Approved,3654.547152
California,Sunnyvale,MASTERCARD,Approved,5682.900177
Virginia,Ashburn,MASTERCARD,Approved,222.047421
Ohio,Cincinnati,VISA,Approved,715.5513244
California,Menlo Park,AMEX,Approved,121.6586197
California,Mountain View,VISA,Approved,1062.862022
Ohio,Cincinnati,VISA,Approved,436.2555379
California,Mountain View,AMEX,Insufficient funds,316.9777323
California,Mountain View,VISA,Approved,1.927296447
Washington,Seattle,MASTERCARD,Approved,3006.297425
California,Menlo Park,VISA,Approved,10459.61437
Nevada,Las Vegas,AMEX,Approved,278.3035158
California,Sunnyvale,AMEX,Approved,4466.698129
Washington,Redmond,VISA,Approved,774.9194434
Washington,Redmond,VISA,Approved,731.5454806
South Carolina,Lexington,VISA,Approved,518.3205329
Ohio,Cincinnati,VISA,Do not honor,587.6518079
California,Mountain View,AMEX,Insufficient funds,383.2312523
California,Mountain View,MASTERCARD,Approved,1045.751355
Virginia,Ashburn,MASTERCARD,Do not honor,2294.425198
Iowa,Des Moines,AMEX,Insufficient funds,963.8019588
California,Menlo Park,AMEX,Approved,2566.852294
California,Mountain View,VISA,Insufficient funds,71.03942858
Washington,Redmond,VISA,Approved,29.77148904
Washington,Redmond,VISA,Do not honor,863.3215868
Washington,Redmond,MASTERCARD,Approved,3864.799637
Washington,Redmond,MASTERCARD,Insufficient funds,2215.727344
Washington,Seattle,VISA,Approved,5708.607576
California,San Francisco,MASTERCARD,Approved,1579.809843
South Dakota,Sioux Falls,MASTERCARD,Approved,1935.833152
California,Menlo Park,MASTERCARD,Approved,3434.870955
California,Mountain View,VISA,Approved,518.9448005
New York,Nanuet,VISA,Approved,503.3949703
California,Menlo Park,VISA,Approved,322.0185931
California,Van Nuys,VISA,Approved,886.4504495
Virginia,Ashburn,AMEX,Insufficient funds,3275.278464
Ohio,Cincinnati,MASTERCARD,Approved,1075.625752
California,Mountain View,MASTERCARD,Approved,1288.748221
California,Mountain View,DISCOVER,Approved,4964.791513
Washington,Redmond,MASTERCARD,Approved,1532.235872
Virginia,Ashburn,VISA,Do not honor,590.1029221
California,Mountain View,MASTERCARD,Insufficient funds,1251.609633
California,Mountain View,AMEX,Approved,566.9773433
California,Menlo Park,VISA,Approved,2800.797964
Ohio,Cincinnati,MASTERCARD,Approved,2204.290027
Virginia,Ashburn,VISA,Approved,23.99189408
California,Mountain View,VISA,Approved,771.7549768
Washington,Seattle,AMEX,Approved,1356.123933
California,Menlo Park,MASTERCARD,Insufficient funds,414.8276429
Virginia,Ashburn,MASTERCARD,Approved,140.3982082
California,Mountain View,MASTERCARD,Approved,73.23328378
California,Mountain View,AMEX,Approved,1403.658819
California,Mountain View,VISA,Do not honor,232.9991152
California,Mountain View,VISA,Insufficient funds,850.0231271
Virginia,Ashburn,AMEX,Restricted card,427.2612463
Georgia,Columbus,AMEX,Approved,3638.137071
California,Sunnyvale,MASTERCARD,Approved,456.5816065
Ohio,Cincinnati,VISA,Approved,1239.275311
Oregon,Boardman,VISA,Approved,326.8231871
California,Mountain View,VISA,Do not honor,3251.190011
California,San Francisco,MASTERCARD,Approved,2279.385408
Washington,Seattle,VISA,Approved,3696.87974
California,San Jose,MASTERCARD,Approved,409.2362242
Washington,Seattle,MASTERCARD,Approved,112.5028901
California,Brea,MASTERCARD,Do not honor,2735.753991
California,Mountain View,MASTERCARD,Insufficient funds,456.8350899
California,Menlo Park,VISA,Approved,1351.067651
California,Sunnyvale,AMEX,Approved,2924.546394
Ohio,Cincinnati,VISA,Approved,2077.457865
Washington,Seattle,MASTERCARD,Approved,458.9633903
Missouri,St Louis,MASTERCARD,Do not honor,985.0010829
California,Mountain View,VISA,Approved,736.9562089
Ohio,Cincinnati,MASTERCARD,Do not honor,2175.516774
California,Mountain View,VISA,Approved,440.8230263
California,Mountain View,MASTERCARD,Approved,241.8570958
California,Mountain View,MASTERCARD,Approved,576.523224
California,Mountain View,VISA,Insufficient funds,7734.718961
California,Los Angeles,VISA,Approved,2312.351291
Ohio,Cincinnati,MASTERCARD,Invalid amount,1609.278833
New Jersey,Absecon,VISA,Insufficient funds,2630.195303
Virginia,Ashburn,MASTERCARD,Approved,930.2759277
New Mexico,Albuquerque,VISA,Incorrect PIN,200.1040866
California,San Francisco,AMEX,Approved,40.6349518
California,Sunnyvale,VISA,Do not honor,5.980004438
Washington,Seattle,VISA,Insufficient funds,3900.655162
California,San Francisco,AMEX,Incorrect PIN,0.395670836
Ohio,Cincinnati,VISA,Restricted card,19.22663953
California,Mountain View,MASTERCARD,Approved,1301.065238
California,Mountain View,MASTERCARD,Approved,2163.146701
California,Mountain View,VISA,Approved,1013.129595
California,Mountain View,VISA,No credit account,732.8716853
California,Mountain View,VISA,Insufficient funds,110.0692477
California,Mountain View,VISA,Incorrect PIN,393.9321431
Washington,Redmond,VISA,Restricted card,71.72721931
Ohio,Cincinnati,MASTERCARD,PIN tries exceeded,273.7439205
California,Colton,DISCOVER,Approved,38.68033718
Minnesota,Minneapolis,MASTERCARD,Approved,2868.893518
California,Mountain View,VISA,Insufficient funds,4963.789801
California,Mountain View,VISA,Approved,3427.49615
Washington,Seattle,MASTERCARD,Insufficient funds,33.01967352
Virginia,Ashburn,VISA,Approved,76.58268204
Virginia,Blacksburg,AMEX,Approved,356.1453394
Virginia,Ashburn,AMEX,Insufficient funds,111.7910765
Washington,Redmond,VISA,Approved,7293.303249
California,Sunnyvale,AMEX,Do not honor,4141.851035
Virginia,Ashburn,MASTERCARD,Insufficient funds,687.4537363
California,Mountain View,DISCOVER,Approved,1971.95154
California,Mountain View,MASTERCARD,Approved,337.8974194
California,Mountain View,VISA,Approved,1694.634269
California,Berkeley,VISA,Do not honor,3775.059944
California,Mountain View,DISCOVER,Insufficient funds,2178.351741
Virginia,Portsmouth,VISA,Approved,28.4973787
Ohio,Cincinnati,AMEX,Approved,1403.504309
California,Mountain View,MASTERCARD,Approved,265.6845201
California,Mountain View,VISA,Approved,6291.335428
Missouri,Springfield,MASTERCARD,Insufficient funds,5859.958173
Arizona,Sun City West,MASTERCARD,Approved,349.7544157
California,Mountain View,AMEX,Do not honor,58.33803315
California,Palo Alto,MASTERCARD,Incorrect PIN,86.16300324
California,Palo Alto,VISA,Approved,8.049462472
California,Palo Alto,VISA,Do not honor,844.7717477
Alabama,Ramer,AMEX,Insufficient funds,1039.102368
California,Mountain View,AMEX,Approved,2340.800908
Arizona,Goodyear,AMEX,Insufficient funds,40.91436004
Washington,Seattle,AMEX,Approved,1826.747599
California,Palo Alto,VISA,Approved,2078.429797
Virginia,Ashburn,MASTERCARD,Do not honor,8052.966149
California,Mountain View,VISA,Insufficient funds,163.6851776
Ohio,Cincinnati,VISA,Approved,133.1885447
California,Union City,VISA,Approved,1764.125314
California,Santa Clara,VISA,Approved,670.1394698
Missouri,St Louis,MASTERCARD,Invalid merchant,1431.452168
Tennessee,Memphis,AMEX,Approved,1014.59662
California,Poway,AMEX,Approved,618.7104104
California,Mountain View,VISA,Approved,1548.057344
Washington,Redmond,MASTERCARD,Approved,1081.896845
Pennsylvania,Allentown,VISA,Approved,1501.076741
Washington,Redmond,MASTERCARD,Approved,1656.499714
New Jersey,Leonia,VISA,Approved,3597.382537
California,Mountain View,DISCOVER,Approved,30.14776556
New York,New York,VISA,Do not honor,4841.804481
California,Sunnyvale,MASTERCARD,Insufficient funds,930.0252255
North Carolina,Boone,VISA,Approved,853.7063946
Nebraska,Omaha,MASTERCARD,Approved,321.351821
New York,The Bronx,MASTERCARD,Approved,1930.332163
Washington,Seattle,MASTERCARD,Approved,1369.906114
California,San Francisco,VISA,Approved,1202.67667
California,San Francisco,MASTERCARD,Approved,931.6852251
Ohio,Westerville,MASTERCARD,Approved,47.86880414
Virginia,Ashburn,AMEX,Do not honor,1958.229157
Ohio,Cincinnati,VISA,Approved,373.9031793
California,Mountain View,MASTERCARD,Approved,662.8270153
California,Menlo Park,VISA,Approved,96.09856343
California,Menlo Park,AMEX,Approved,0.203726335
California,Menlo Park,DISCOVER,Approved,2425.178873
California,Menlo Park,VISA,Do not honor,1407.035644
California,Menlo Park,VISA,Restricted card,1437.621161
California,Menlo Park,VISA,Approved,891.7123791
California,Menlo Park,VISA,Approved,4148.203804
California,Menlo Park,AMEX,Approved,1523.638516
California,Menlo Park,MASTERCARD,Approved,1501.227818
California,Menlo Park,VISA,Approved,4374.6283
California,Menlo Park,AMEX,Approved,4050.737784
California,Menlo Park,MASTERCARD,Approved,9449.264205
California,Menlo Park,MASTERCARD,Invalid transaction,2458.999736
California,Menlo Park,AMEX,Approved,410.2368766
California,Menlo Park,AMEX,Approved,499.7434035
California,Menlo Park,VISA,Approved,1653.869938
California,Menlo Park,VISA,Approved,371.8937151
California,Merced,VISA,Approved,534.4370788
California,Mountain View,MASTERCARD,Approved,625.1335992
Ohio,Cincinnati,AMEX,Expired card,4206.579063
California,Mountain View,VISA,Approved,113.593395
Illinois,Chicago,AMEX,Approved,521.9125624
California,Mountain View,VISA,Approved,590.1655114
California,Sunnyvale,AMEX,Approved,2043.682241
California,Mountain View,VISA,Do not honor,769.4536912
California,Mountain View,VISA,Insufficient funds,1681.655394
California,Mountain View,MASTERCARD,Approved,1846.351057
South Carolina,Greenville,VISA,Approved,351.5499504
Virginia,Ashburn,MASTERCARD,Do not honor,61.37956638
Washington,Seattle,AMEX,Invalid transaction,2836.139167
Virginia,Ashburn,VISA,Insufficient funds,944.5983454
Maine,Poland,AMEX,Incorrect PIN,242.5931306
Virginia,Ashburn,MASTERCARD,Issuer unavailable,2177.739554
