"_time",Casual,Member,"_span"
1420426800,10,93,3600
1420430400,9,94,3600
1420434000,6,72,3600
1420437600,13,60,3600
1420441200,1,38,3600
1420444800,0,18,3600
1420448400,0,3,3600
1420452000,0,2,3600
1420455600,0,2,3600
1420459200,0,7,3600
1420462800,1,54,3600
1420466400,0,178,3600
1420470000,3,473,3600
1420473600,18,796,3600
1420477200,16,334,3600
1420480800,39,151,3600
1420484400,30,127,3600
1420488000,34,173,3600
1420491600,27,189,3600
1420495200,29,146,3600
1420498800,25,170,3600
1420502400,20,346,3600
1420506000,27,607,3600
1420509600,13,520,3600
1420513200,3,325,3600
1420516800,1,167,3600
1420520400,0,102,3600
1420524000,3,53,3600
1420527600,4,26,3600
1420531200,0,12,3600
1420534800,0,6,3600
1420538400,0,1,3600
1420542000,0,0,3600
1420545600,0,1,3600
1420549200,0,23,3600
1420552800,1,58,3600
1420556400,0,104,3600
1420560000,3,148,3600
1420563600,1,79,3600
1420567200,1,43,3600
1420570800,2,57,3600
1420574400,0,67,3600
1420578000,0,74,3600
1420581600,1,73,3600
1420585200,3,95,3600
1420588800,10,165,3600
1420592400,9,295,3600
1420596000,1,279,3600
1420599600,3,199,3600
1420603200,4,124,3600
1420606800,4,64,3600
1420610400,0,52,3600
1420614000,2,22,3600
1420617600,0,8,3600
1420621200,1,5,3600
1420624800,0,1,3600
1420628400,0,0,3600
1420632000,0,4,3600
1420635600,0,31,3600
1420639200,0,85,3600
1420642800,1,226,3600
1420646400,4,432,3600
1420650000,5,269,3600
1420653600,7,92,3600
1420657200,7,100,3600
1420660800,4,107,3600
1420664400,6,103,3600
1420668000,7,95,3600
1420671600,5,125,3600
1420675200,4,191,3600
1420678800,4,356,3600
1420682400,4,332,3600
1420686000,3,169,3600
1420689600,1,114,3600
1420693200,2,82,3600
1420696800,0,56,3600
1420700400,0,15,3600
1420704000,0,9,3600
1420707600,0,5,3600
1420711200,0,1,3600
1420714800,1,2,3600
1420718400,0,0,3600
1420722000,0,22,3600
1420725600,0,50,3600
1420729200,0,206,3600
1420732800,6,424,3600
1420736400,0,247,3600
1420740000,3,97,3600
1420743600,0,91,3600
1420747200,3,98,3600
1420750800,4,119,3600
1420754400,2,88,3600
1420758000,8,101,3600
1420761600,2,172,3600
1420765200,3,361,3600
1420768800,3,355,3600
1420772400,3,180,3600
1420776000,0,129,3600
1420779600,2,98,3600
1420783200,0,54,3600
1420786800,0,27,3600
1420790400,1,6,3600
1420794000,1,6,3600
1420797600,0,7,3600
1420801200,0,0,3600
1420804800,0,3,3600
1420808400,0,22,3600
1420812000,0,72,3600
1420815600,2,261,3600
1420819200,2,537,3600
1420822800,5,340,3600
1420826400,7,140,3600
1420830000,7,152,3600
1420833600,8,206,3600
1420837200,3,199,3600
1420840800,14,145,3600
1420844400,8,213,3600
1420848000,13,283,3600
1420851600,7,547,3600
1420855200,4,400,3600
1420858800,1,234,3600
1420862400,2,160,3600
1420866000,0,96,3600
1420869600,0,83,3600
1420873200,2,38,3600
1420876800,2,47,3600
1420880400,1,33,3600
1420884000,0,13,3600
1420887600,1,6,3600
1420891200,0,0,3600
1420894800,0,4,3600
1420898400,0,9,3600
1420902000,1,28,3600
1420905600,2,95,3600
1420909200,11,147,3600
1420912800,7,150,3600
1420916400,18,180,3600
1420920000,8,215,3600
1420923600,18,178,3600
1420927200,19,203,3600
1420930800,16,224,3600
1420934400,11,224,3600
1420938000,16,180,3600
1420941600,7,172,3600
1420945200,10,125,3600
1420948800,5,110,3600
1420952400,0,70,3600
1420956000,3,66,3600
1420959600,3,56,3600
1420963200,1,56,3600
1420966800,1,47,3600
1420970400,0,24,3600
1420974000,0,6,3600
1420977600,0,2,3600
1420981200,0,5,3600
1420984800,0,2,3600
1420988400,0,25,3600
1420992000,10,70,3600
1420995600,12,111,3600
1420999200,16,167,3600
1421002800,50,259,3600
1421006400,35,310,3600
1421010000,42,344,3600
1421013600,33,298,3600
1421017200,46,278,3600
1421020800,44,287,3600
1421024400,34,248,3600
1421028000,15,196,3600
1421031600,4,137,3600
1421035200,8,113,3600
1421038800,6,62,3600
1421042400,4,55,3600
1421046000,2,21,3600
1421049600,1,13,3600
1421053200,1,7,3600
1421056800,0,2,3600
1421060400,0,0,3600
1421064000,0,1,3600
1421067600,0,34,3600
1421071200,1,47,3600
1421074800,6,60,3600
1421078400,2,113,3600
1421082000,4,124,3600
1421085600,3,80,3600
1421089200,1,39,3600
1421092800,1,27,3600
1421096400,1,30,3600
1421100000,2,44,3600
1421103600,3,68,3600
1421107200,10,135,3600
1421110800,8,315,3600
1421114400,11,337,3600
1421118000,9,282,3600
1421121600,4,132,3600
1421125200,5,87,3600
1421128800,5,82,3600
1421132400,5,26,3600
1421136000,7,33,3600
1421139600,0,13,3600
1421143200,0,4,3600
1421146800,0,0,3600
1421150400,0,8,3600
1421154000,0,49,3600
1421157600,1,129,3600
1421161200,10,439,3600
1421164800,11,823,3600
1421168400,11,404,3600
1421172000,18,149,3600
1421175600,15,158,3600
1421179200,25,163,3600
1421182800,12,177,3600
1421186400,18,141,3600
1421190000,14,185,3600
1421193600,14,313,3600
1421197200,21,603,3600
1421200800,7,580,3600
1421204400,15,341,3600
1421208000,13,225,3600
1421211600,17,188,3600
1421215200,9,99,3600
1421218800,9,49,3600
1421222400,9,19,3600
1421226000,6,7,3600
1421229600,0,3,3600
1421233200,0,1,3600
1421236800,0,2,3600
1421240400,0,31,3600
1421244000,1,85,3600
1421247600,5,290,3600
1421251200,9,476,3600
1421254800,15,313,3600
1421258400,8,151,3600
1421262000,10,149,3600
1421265600,6,171,3600
1421269200,7,166,3600
1421272800,23,120,3600
1421276400,14,162,3600
1421280000,21,295,3600
1421283600,23,562,3600
1421287200,11,549,3600
1421290800,14,318,3600
1421294400,5,208,3600
1421298000,8,161,3600
1421301600,8,108,3600
1421305200,2,46,3600
1421308800,3,19,3600
1421312400,12,11,3600
1421316000,0,3,3600
1421319600,0,0,3600
1421323200,0,3,3600
1421326800,0,46,3600
1421330400,1,141,3600
1421334000,2,440,3600
1421337600,9,821,3600
1421341200,10,359,3600
1421344800,16,150,3600
1421348400,17,144,3600
1421352000,19,224,3600
1421355600,25,213,3600
1421359200,18,179,3600
1421362800,36,208,3600
1421366400,33,345,3600
1421370000,33,617,3600
1421373600,8,618,3600
1421377200,9,379,3600
1421380800,6,254,3600
1421384400,3,179,3600
1421388000,4,124,3600
1421391600,8,63,3600
1421395200,0,26,3600
1421398800,0,16,3600
1421402400,0,11,3600
1421406000,0,1,3600
1421409600,0,5,3600
1421413200,0,42,3600
1421416800,0,108,3600
1421420400,3,362,3600
1421424000,9,758,3600
1421427600,12,401,3600
1421431200,15,170,3600
1421434800,16,174,3600
1421438400,26,228,3600
1421442000,39,226,3600
1421445600,17,214,3600
1421449200,33,270,3600
1421452800,20,392,3600
1421456400,33,652,3600
1421460000,14,530,3600
1421463600,9,304,3600
1421467200,7,231,3600
1421470800,9,129,3600
1421474400,1,124,3600
1421478000,0,92,3600
1421481600,7,69,3600
1421485200,1,63,3600
1421488800,2,30,3600
1421492400,0,12,3600
1421496000,0,8,3600
1421499600,0,6,3600
1421503200,0,16,3600
1421506800,2,48,3600
1421510400,13,98,3600
1421514000,25,177,3600
1421517600,42,236,3600
1421521200,70,277,3600
1421524800,80,323,3600
1421528400,87,324,3600
1421532000,101,305,3600
1421535600,83,369,3600
1421539200,73,247,3600
1421542800,45,241,3600
1421546400,23,201,3600
1421550000,4,173,3600
1421553600,11,115,3600
1421557200,15,87,3600
1421560800,7,78,3600
1421564400,4,67,3600
1421568000,2,62,3600
1421571600,2,34,3600
1421575200,6,42,3600
1421578800,0,17,3600
1421582400,0,6,3600
1421586000,0,3,3600
1421589600,2,10,3600
1421593200,1,22,3600
1421596800,0,9,3600
1421600400,1,24,3600
1421604000,5,37,3600
1421607600,6,80,3600
1421611200,20,136,3600
1421614800,20,176,3600
1421618400,33,184,3600
1421622000,38,233,3600
1421625600,31,228,3600
1421629200,43,216,3600
1421632800,29,238,3600
1421636400,10,139,3600
1421640000,8,115,3600
1421643600,10,97,3600
1421647200,4,101,3600
1421650800,6,62,3600
1421654400,8,35,3600
1421658000,4,23,3600
1421661600,1,21,3600
1421665200,4,9,3600
1421668800,0,10,3600
1421672400,4,8,3600
1421676000,3,32,3600
1421679600,2,99,3600
1421683200,3,207,3600
1421686800,10,167,3600
1421690400,35,206,3600
1421694000,61,242,3600
1421697600,43,327,3600
1421701200,78,328,3600
1421704800,87,321,3600
1421708400,66,313,3600
1421712000,82,353,3600
1421715600,65,364,3600
1421719200,27,313,3600
1421722800,13,238,3600
1421726400,9,172,3600
1421730000,8,119,3600
1421733600,2,95,3600
1421737200,3,67,3600
1421740800,0,12,3600
1421744400,0,5,3600
1421748000,1,7,3600
1421751600,0,0,3600
1421755200,0,7,3600
1421758800,0,48,3600
1421762400,1,170,3600
1421766000,4,478,3600
1421769600,8,845,3600
1421773200,7,366,3600
1421776800,9,184,3600
1421780400,8,186,3600
1421784000,17,197,3600
1421787600,17,192,3600
1421791200,18,182,3600
1421794800,26,219,3600
1421798400,23,384,3600
1421802000,24,724,3600
1421805600,11,704,3600
1421809200,12,467,3600
1421812800,7,341,3600
1421816400,4,186,3600
1421820000,4,120,3600
1421823600,1,90,3600
1421827200,1,25,3600
1421830800,0,7,3600
1421834400,0,1,3600
1421838000,0,3,3600
1421841600,0,8,3600
1421845200,0,72,3600
1421848800,1,192,3600
1421852400,4,490,3600
1421856000,4,882,3600
1421859600,6,416,3600
1421863200,10,145,3600
1421866800,18,144,3600
1421870400,5,158,3600
1421874000,1,76,3600
1421877600,8,73,3600
1421881200,4,125,3600
1421884800,10,229,3600
1421888400,15,563,3600
1421892000,11,575,3600
1421895600,8,389,3600
1421899200,4,302,3600
1421902800,4,204,3600
1421906400,6,110,3600
1421910000,1,92,3600
1421913600,3,21,3600
1421917200,2,10,3600
1421920800,1,3,3600
1421924400,0,2,3600
1421928000,0,3,3600
1421931600,1,51,3600
1421935200,0,143,3600
1421938800,9,437,3600
1421942400,10,821,3600
1421946000,17,354,3600
1421949600,27,187,3600
1421953200,29,211,3600
1421956800,33,264,3600
1421960400,20,238,3600
1421964000,8,182,3600
1421967600,29,232,3600
1421971200,29,376,3600
1421974800,30,722,3600
1421978400,16,670,3600
1421982000,5,439,3600
1421985600,15,306,3600
1421989200,11,238,3600
1421992800,8,131,3600
1421996400,7,73,3600
1422000000,2,33,3600
1422003600,0,9,3600
1422007200,0,12,3600
1422010800,0,2,3600
1422014400,0,6,3600
1422018000,0,48,3600
1422021600,0,145,3600
1422025200,6,412,3600
1422028800,15,855,3600
1422032400,18,415,3600
1422036000,21,182,3600
1422039600,23,214,3600
1422043200,33,285,3600
1422046800,27,280,3600
1422050400,21,253,3600
1422054000,51,247,3600
1422057600,17,332,3600
1422061200,19,337,3600
1422064800,2,195,3600
1422068400,4,117,3600
1422072000,3,70,3600
1422075600,6,21,3600
1422079200,0,19,3600
1422082800,0,17,3600
1422086400,0,12,3600
1422090000,0,8,3600
1422093600,0,6,3600
1422097200,0,7,3600
1422100800,0,2,3600
1422104400,0,2,3600
1422108000,0,7,3600
1422111600,1,30,3600
1422115200,5,64,3600
1422118800,7,145,3600
1422122400,12,199,3600
1422126000,13,234,3600
1422129600,25,259,3600
1422133200,22,254,3600
1422136800,16,237,3600
1422140400,31,294,3600
1422144000,34,282,3600
1422147600,28,291,3600
1422151200,9,269,3600
1422154800,5,212,3600
1422158400,7,124,3600
1422162000,10,131,3600
1422165600,3,111,3600
1422169200,3,93,3600
1422172800,1,55,3600
1422176400,4,75,3600
1422180000,2,57,3600
1422183600,2,20,3600
1422187200,1,8,3600
1422190800,0,1,3600
1422194400,1,11,3600
1422198000,3,31,3600
1422201600,1,85,3600
1422205200,16,160,3600
1422208800,43,318,3600
1422212400,72,375,3600
1422216000,84,442,3600
1422219600,95,441,3600
1422223200,65,421,3600
1422226800,101,438,3600
1422230400,65,416,3600
1422234000,35,318,3600
1422237600,19,289,3600
1422241200,22,204,3600
1422244800,12,142,3600
1422248400,5,114,3600
1422252000,6,93,3600
1422255600,2,39,3600
1422259200,0,23,3600
1422262800,0,5,3600
1422266400,0,3,3600
1422270000,0,1,3600
1422273600,0,0,3600
1422277200,0,31,3600
1422280800,0,68,3600
1422284400,3,157,3600
1422288000,3,324,3600
1422291600,0,206,3600
1422295200,0,78,3600
1422298800,1,58,3600
1422302400,0,84,3600
1422306000,3,73,3600
1422309600,3,69,3600
1422313200,2,106,3600
1422316800,7,154,3600
1422320400,3,332,3600
1422324000,6,280,3600
1422327600,1,133,3600
1422331200,0,119,3600
1422334800,1,57,3600
1422338400,0,32,3600
1422342000,1,21,3600
1422345600,0,11,3600
1422349200,0,5,3600
1422352800,0,1,3600
1422356400,0,1,3600
1422360000,0,2,3600
1422363600,0,24,3600
1422367200,1,57,3600
1422370800,1,170,3600
1422374400,1,330,3600
1422378000,2,305,3600
1422381600,11,233,3600
1422385200,4,130,3600
1422388800,4,131,3600
1422392400,6,148,3600
1422396000,9,127,3600
1422399600,11,172,3600
1422403200,5,249,3600
1422406800,11,562,3600
1422410400,3,489,3600
1422414000,0,343,3600
1422417600,0,253,3600
1422421200,2,159,3600
1422424800,1,85,3600
1422428400,0,43,3600
1422432000,0,14,3600
1422435600,0,7,3600
1422439200,0,1,3600
1422442800,0,1,3600
1422446400,0,4,3600
1422450000,1,44,3600
1422453600,1,142,3600
1422457200,2,387,3600
1422460800,6,653,3600
1422464400,6,350,3600
1422468000,4,142,3600
1422471600,3,132,3600
1422475200,7,199,3600
1422478800,9,174,3600
1422482400,6,160,3600
1422486000,9,184,3600
1422489600,7,304,3600
1422493200,18,606,3600
1422496800,8,549,3600
1422500400,9,355,3600
1422504000,3,250,3600
1422507600,2,181,3600
1422511200,2,152,3600
1422514800,0,37,3600
1422518400,0,15,3600
1422522000,0,5,3600
1422525600,0,3,3600
1422529200,0,4,3600
1422532800,0,5,3600
1422536400,0,47,3600
1422540000,0,127,3600
1422543600,4,407,3600
1422547200,5,767,3600
1422550800,7,379,3600
1422554400,10,161,3600
1422558000,6,159,3600
1422561600,11,209,3600
1422565200,13,173,3600
1422568800,8,150,3600
1422572400,6,178,3600
1422576000,1,166,3600
1422579600,3,365,3600
1422583200,8,429,3600
1422586800,4,298,3600
1422590400,6,215,3600
1422594000,2,159,3600
1422597600,1,107,3600
1422601200,0,56,3600
1422604800,0,36,3600
1422608400,2,12,3600
1422612000,0,9,3600
1422615600,0,2,3600
1422619200,0,4,3600
1422622800,0,44,3600
1422626400,0,139,3600
1422630000,2,402,3600
1422633600,9,752,3600
1422637200,8,418,3600
1422640800,6,168,3600
1422644400,9,172,3600
1422648000,7,213,3600
1422651600,18,210,3600
1422655200,13,179,3600
1422658800,20,196,3600
1422662400,11,333,3600
1422666000,11,533,3600
1422669600,8,388,3600
1422673200,2,244,3600
1422676800,4,125,3600
1422680400,0,81,3600
1422684000,1,68,3600
1422687600,0,46,3600
1422691200,2,46,3600
1422694800,2,35,3600
1422698400,1,12,3600
1422702000,0,9,3600
1422705600,0,5,3600
1422709200,0,3,3600
1422712800,0,13,3600
1422716400,0,44,3600
1422720000,6,94,3600
1422723600,6,161,3600
1422727200,9,185,3600
1422730800,28,219,3600
1422734400,30,254,3600
1422738000,40,244,3600
1422741600,54,246,3600
1422745200,20,262,3600
1422748800,49,246,3600
1422752400,25,207,3600
1422756000,2,185,3600
1422759600,16,200,3600
1422763200,10,119,3600
1422766800,9,85,3600
1422770400,8,101,3600
1422774000,4,75,3600
1422777600,4,80,3600
1422781200,3,46,3600
1422784800,0,40,3600
1422788400,0,12,3600
1422792000,0,4,3600
1422795600,1,4,3600
1422799200,0,1,3600
1422802800,2,25,3600
1422806400,6,88,3600
1422810000,12,130,3600
1422813600,22,246,3600
1422817200,27,249,3600
1422820800,24,308,3600
1422824400,34,285,3600
1422828000,23,239,3600
1422831600,31,293,3600
1422835200,27,313,3600
1422838800,29,338,3600
1422842400,9,233,3600
1422846000,3,88,3600
1422849600,5,68,3600
1422853200,4,60,3600
1422856800,3,165,3600
1422860400,0,37,3600
1422864000,1,10,3600
1422867600,0,7,3600
1422871200,0,3,3600
1422874800,0,1,3600
1422878400,0,2,3600
1422882000,1,47,3600
1422885600,0,130,3600
1422889200,3,323,3600
1422892800,1,521,3600
1422896400,3,171,3600
1422900000,2,104,3600
1422903600,5,114,3600
1422907200,5,138,3600
1422910800,6,161,3600
1422914400,6,134,3600
1422918000,5,179,3600
1422921600,5,263,3600
1422925200,6,533,3600
1422928800,3,417,3600
1422932400,0,256,3600
1422936000,0,151,3600
1422939600,1,105,3600
1422943200,0,62,3600
1422946800,1,25,3600
1422950400,0,8,3600
1422954000,0,8,3600
1422957600,0,0,3600
1422961200,0,0,3600
1422964800,0,3,3600
1422968400,0,34,3600
1422972000,0,119,3600
1422975600,1,376,3600
1422979200,0,766,3600
1422982800,1,360,3600
1422986400,0,112,3600
1422990000,0,126,3600
1422993600,0,166,3600
1422997200,2,190,3600
1423000800,0,161,3600
1423004400,1,220,3600
1423008000,1,322,3600
1423011600,0,657,3600
1423015200,0,572,3600
1423018800,0,403,3600
1423022400,0,238,3600
1423026000,0,179,3600
1423029600,0,102,3600
1423033200,0,34,3600
1423036800,0,20,3600
1423040400,0,6,3600
1423044000,0,0,3600
1423047600,0,0,3600
1423051200,0,3,3600
1423054800,0,55,3600
1423058400,0,179,3600
1423062000,0,483,3600
1423065600,0,813,3600
1423069200,0,350,3600
1423072800,4,160,3600
1423076400,0,170,3600
1423080000,0,250,3600
1423083600,0,194,3600
1423087200,0,170,3600
1423090800,0,213,3600
1423094400,4,396,3600
1423098000,8,735,3600
1423101600,11,722,3600
1423105200,2,449,3600
1423108800,3,308,3600
1423112400,4,209,3600
1423116000,5,126,3600
1423119600,2,84,3600
1423123200,1,31,3600
1423126800,0,11,3600
1423130400,0,4,3600
1423134000,0,4,3600
1423137600,0,6,3600
1423141200,1,39,3600
1423144800,0,152,3600
1423148400,2,446,3600
1423152000,3,856,3600
1423155600,9,363,3600
1423159200,19,150,3600
1423162800,3,148,3600
1423166400,13,182,3600
1423170000,18,156,3600
1423173600,26,142,3600
1423177200,18,167,3600
1423180800,16,287,3600
1423184400,16,539,3600
1423188000,0,455,3600
1423191600,1,306,3600
1423195200,12,209,3600
1423198800,2,142,3600
1423202400,2,78,3600
1423206000,0,41,3600
1423209600,0,20,3600
1423213200,0,12,3600
1423216800,1,3,3600
1423220400,0,0,3600
1423224000,0,5,3600
1423227600,0,36,3600
1423231200,1,105,3600
1423234800,3,314,3600
1423238400,3,622,3600
1423242000,6,358,3600
1423245600,17,155,3600
1423249200,3,177,3600
1423252800,12,198,3600
1423256400,26,202,3600
1423260000,11,155,3600
1423263600,15,211,3600
1423267200,19,335,3600
1423270800,24,586,3600
1423274400,10,479,3600
1423278000,9,322,3600
1423281600,11,193,3600
1423285200,8,142,3600
1423288800,1,107,3600
1423292400,3,86,3600
1423296000,5,81,3600
1423299600,0,44,3600
1423303200,2,19,3600
1423306800,4,12,3600
1423310400,0,2,3600
1423314000,1,1,3600
1423317600,2,11,3600
1423321200,5,44,3600
1423324800,14,112,3600
1423328400,22,190,3600
1423332000,26,258,3600
1423335600,52,314,3600
1423339200,107,373,3600
1423342800,89,375,3600
1423346400,100,356,3600
1423350000,111,372,3600
1423353600,52,345,3600
1423357200,54,310,3600
1423360800,49,268,3600
1423364400,28,239,3600
1423368000,18,178,3600
1423371600,14,131,3600
1423375200,6,127,3600
1423378800,8,105,3600
1423382400,18,77,3600
1423386000,10,64,3600
1423389600,4,55,3600
1423393200,3,22,3600
1423396800,0,3,3600
1423400400,1,7,3600
1423404000,0,4,3600
1423407600,3,22,3600
1423411200,9,86,3600
1423414800,22,158,3600
1423418400,46,266,3600
1423422000,92,354,3600
1423425600,132,400,3600
1423429200,202,530,3600
1423432800,216,515,3600
1423436400,270,604,3600
1423440000,283,598,3600
1423443600,172,465,3600
1423447200,67,362,3600
1423450800,44,242,3600
1423454400,14,136,3600
1423458000,13,109,3600
1423461600,11,69,3600
1423465200,4,45,3600
1423468800,3,15,3600
1423472400,2,13,3600
1423476000,1,8,3600
1423479600,0,1,3600
1423483200,1,5,3600
1423486800,0,48,3600
1423490400,1,158,3600
1423494000,13,501,3600
1423497600,11,849,3600
1423501200,13,358,3600
1423504800,17,142,3600
1423508400,27,123,3600
1423512000,14,186,3600
1423515600,21,186,3600
1423519200,12,145,3600
1423522800,10,215,3600
1423526400,16,317,3600
1423530000,3,434,3600
1423533600,5,495,3600
1423537200,4,322,3600
1423540800,5,161,3600
1423544400,1,79,3600
1423548000,1,55,3600
1423551600,0,20,3600
1423555200,0,8,3600
1423558800,0,3,3600
1423562400,0,0,3600
1423566000,0,2,3600
1423569600,0,4,3600
1423573200,0,42,3600
1423576800,0,129,3600
1423580400,5,401,3600
1423584000,13,806,3600
1423587600,7,349,3600
1423591200,10,163,3600
1423594800,15,148,3600
1423598400,19,202,3600
1423602000,19,199,3600
1423605600,14,162,3600
1423609200,13,201,3600
1423612800,27,293,3600
1423616400,20,728,3600
1423620000,20,614,3600
1423623600,5,418,3600
1423627200,16,312,3600
1423630800,3,217,3600
1423634400,7,105,3600
1423638000,1,48,3600
1423641600,0,17,3600
1423645200,0,4,3600
1423648800,0,3,3600
1423652400,1,1,3600
1423656000,0,1,3600
1423659600,2,49,3600
1423663200,5,166,3600
1423666800,8,454,3600
1423670400,18,917,3600
1423674000,29,408,3600
1423677600,26,149,3600
1423681200,24,225,3600
1423684800,30,230,3600
1423688400,33,221,3600
1423692000,36,181,3600
1423695600,33,227,3600
1423699200,51,392,3600
1423702800,69,767,3600
1423706400,23,682,3600
1423710000,27,441,3600
1423713600,7,286,3600
1423717200,7,257,3600
1423720800,8,120,3600
1423724400,3,70,3600
1423728000,2,22,3600
1423731600,4,7,3600
1423735200,2,0,3600
1423738800,0,0,3600
1423742400,0,1,3600
1423746000,0,46,3600
1423749600,3,157,3600
1423753200,5,459,3600
1423756800,25,901,3600
1423760400,21,368,3600
1423764000,12,161,3600
1423767600,20,166,3600
1423771200,12,183,3600
1423774800,16,208,3600
1423778400,14,157,3600
1423782000,15,193,3600
1423785600,18,324,3600
1423789200,24,604,3600
1423792800,8,562,3600
1423796400,14,308,3600
1423800000,9,224,3600
1423803600,6,114,3600
1423807200,1,80,3600
1423810800,0,33,3600
1423814400,0,20,3600
1423818000,0,6,3600
1423821600,0,3,3600
1423825200,2,1,3600
1423828800,0,4,3600
1423832400,0,27,3600
1423836000,2,59,3600
1423839600,3,255,3600
1423843200,4,512,3600
1423846800,9,305,3600
1423850400,3,136,3600
1423854000,9,135,3600
1423857600,15,182,3600
1423861200,19,192,3600
1423864800,12,151,3600
1423868400,21,213,3600
1423872000,25,284,3600
1423875600,17,442,3600
1423879200,11,362,3600
1423882800,8,227,3600
1423886400,3,175,3600
1423890000,2,101,3600
1423893600,6,70,3600
1423897200,2,43,3600
1423900800,0,44,3600
1423904400,0,40,3600
1423908000,0,23,3600
1423911600,0,6,3600
1423915200,0,3,3600
1423918800,0,2,3600
1423922400,0,11,3600
1423926000,4,31,3600
1423929600,10,106,3600
1423933200,18,141,3600
1423936800,30,195,3600
1423940400,28,220,3600
1423944000,47,206,3600
1423947600,48,222,3600
1423951200,87,206,3600
1423954800,92,266,3600
1423958400,64,259,3600
1423962000,66,223,3600
1423965600,18,144,3600
1423969200,5,47,3600
1423972800,1,24,3600
1423976400,0,27,3600
1423980000,0,26,3600
1423983600,0,14,3600
1423987200,1,11,3600
1423990800,0,7,3600
1423994400,0,11,3600
1423998000,1,4,3600
1424001600,0,0,3600
1424005200,0,1,3600
1424008800,1,3,3600
1424012400,0,7,3600
1424016000,1,22,3600
1424019600,5,36,3600
1424023200,4,63,3600
1424026800,6,66,3600
1424030400,5,72,3600
1424034000,5,80,3600
1424037600,8,95,3600
1424041200,4,80,3600
1424044800,5,93,3600
1424048400,17,91,3600
1424052000,4,69,3600
1424055600,2,50,3600
1424059200,0,37,3600
1424062800,3,36,3600
1424066400,0,34,3600
1424070000,0,15,3600
1424073600,0,8,3600
1424077200,0,3,3600
1424080800,0,3,3600
1424084400,0,1,3600
1424088000,0,1,3600
1424091600,0,4,3600
1424095200,2,13,3600
1424098800,2,41,3600
1424102400,2,91,3600
1424106000,9,91,3600
1424109600,9,89,3600
1424113200,15,108,3600
1424116800,12,132,3600
1424120400,13,136,3600
1424124000,12,121,3600
1424127600,8,112,3600
1424131200,5,91,3600
1424134800,8,64,3600
1424138400,0,47,3600
1424142000,0,30,3600
1424145600,0,17,3600
1424149200,1,10,3600
1424152800,0,15,3600
1424156400,0,9,3600
1424160000,0,12,3600
1424163600,0,8,3600
1424167200,0,0,3600
1424170800,0,1,3600
1424174400,0,0,3600
1424178000,0,2,3600
1424181600,0,5,3600
1424185200,0,12,3600
1424188800,0,35,3600
1424192400,0,41,3600
1424196000,0,42,3600
1424199600,5,47,3600
1424203200,2,69,3600
1424206800,3,84,3600
1424210400,4,75,3600
1424214000,5,89,3600
1424217600,5,107,3600
1424221200,5,124,3600
1424224800,2,123,3600
1424228400,3,96,3600
1424232000,0,73,3600
1424235600,1,50,3600
1424239200,1,50,3600
1424242800,0,17,3600
1424246400,0,10,3600
1424250000,0,4,3600
1424253600,0,0,3600
1424257200,0,0,3600
1424260800,0,4,3600
1424264400,0,20,3600
1424268000,0,68,3600
1424271600,0,213,3600
1424275200,3,386,3600
1424278800,5,239,3600
1424282400,5,118,3600
1424286000,1,97,3600
